ticker;date;open;low;high;close
RGBITR;2018-03-22;484.98;484.92;485.83;485.83
RGBITR;2018-03-23;485.85;485.85;486.45;486.22
RGBITR;2018-03-26;486.41;486.1;486.62;486.1
RGBITR;2018-03-27;486.19;485.51;486.24;485.61
RGBITR;2018-03-28;485.78;485.28;485.82;485.44
RGBITR;2018-03-29;485.52;485.29;485.64;485.64
RGBITR;2018-03-30;485.79;485.56;486.04;486.04
RGBITR;2018-04-02;486.3;486.3;486.72;486.42
RGBITR;2018-04-03;486.51;486.02;486.6;486.02
RGBITR;2018-04-04;486.16;486.05;486.39;486.23
RGBITR;2018-04-05;486.36;486.3;486.71;486.46
RGBITR;2018-04-06;486.54;486.16;486.58;486.17
RGBITR;2018-04-09;486.65;482.78;487.17;482.78
RGBITR;2018-04-10;482.76;476.09;482.8;476.09
RGBITR;2018-04-11;476.14;472.68;476.14;474.62
RGBITR;2018-04-12;474.89;474.89;479.21;479.11
RGBITR;2018-04-13;479.35;478.04;480.33;478.04
RGBITR;2018-04-16;477.89;475.92;477.89;477.21
RGBITR;2018-04-17;477.29;477.29;479.46;479.11
RGBITR;2018-04-18;479.33;478.58;479.84;479.59
RGBITR;2018-04-19;479.83;479.81;481.42;480.96
RGBITR;2018-04-20;481.18;480.91;481.6;481.08
RGBITR;2018-04-23;481.36;480.92;481.56;481.18
RGBITR;2018-04-24;481.28;481.28;482.19;482.12
RGBITR;2018-04-25;482.42;481.87;483.14;481.87
RGBITR;2018-04-26;481.8;481.25;481.92;481.26
RGBITR;2018-04-27;481.76;481.47;482.16;482.16
RGBITR;2018-04-28;482.35;482.27;483.3;482.64
RGBITR;2018-04-30;483.02;482.43;483.33;482.82
RGBITR;2018-05-02;483.04;482.92;483.48;482.93
RGBITR;2018-05-03;483;480.49;483;482.08
RGBITR;2018-05-04;482.16;481.68;482.2;481.95
RGBITR;2018-05-07;482.46;482.2;482.94;482.27
RGBITR;2018-05-08;482.32;482.05;482.72;482.05
RGBITR;2018-05-10;482.29;482.21;482.79;482.32
RGBITR;2018-05-11;482.56;482.56;483.3;482.88
RGBITR;2018-05-14;483.23;482.71;483.68;482.71
RGBITR;2018-05-15;483.03;482.56;483.03;482.59
RGBITR;2018-05-16;482.83;482.01;482.85;482.06
RGBITR;2018-05-17;482.34;482.25;482.73;482.41
RGBITR;2018-05-18;482.53;482.37;483.01;482.37
RGBITR;2018-05-21;482.76;482.22;482.85;482.26
RGBITR;2018-05-22;482.37;482.37;483.07;482.8
RGBITR;2018-05-23;483.03;482.77;483.68;483.3
RGBITR;2018-05-24;483.33;483.33;484.07;484.04
RGBITR;2018-05-25;484.32;483.85;484.38;483.85
RGBITR;2018-05-28;484.02;483.82;484.39;483.95
RGBITR;2018-05-29;484.01;483.58;484.01;483.61
RGBITR;2018-05-30;483.71;483.71;483.87;483.79
RGBITR;2018-05-31;483.92;483.71;484.17;483.72
RGBITR;2018-06-01;483.93;483.75;484.06;484.06
RGBITR;2018-06-04;484.32;484.04;484.68;484.67
RGBITR;2018-06-05;484.77;484.06;484.93;484.06
RGBITR;2018-06-06;484.11;483.89;484.24;483.9
RGBITR;2018-06-07;484.02;482.93;484.05;482.96
RGBITR;2018-06-08;483.17;481.3;483.21;481.41
RGBITR;2018-06-09;481.64;481.08;481.64;481.62
RGBITR;2018-06-11;481.84;481.69;482.05;481.97
RGBITR;2018-06-13;482.14;480.98;482.14;481.03
RGBITR;2018-06-14;481.15;481.12;481.72;481.33
RGBITR;2018-06-15;481.45;479.98;481.7;479.98
RGBITR;2018-06-18;480.13;475.68;480.13;475.68
RGBITR;2018-06-19;475.91;472.49;476.26;472.98
RGBITR;2018-06-20;473.3;473.3;476.77;476.77
RGBITR;2018-06-21;477.04;476.59;477.4;477.21
RGBITR;2018-06-22;477.42;477.42;478.43;477.86
RGBITR;2018-06-25;478.36;477.87;478.47;478.3
RGBITR;2018-06-26;478.39;477.55;478.7;477.55
RGBITR;2018-06-27;477.84;475.77;477.9;475.97
RGBITR;2018-06-28;476.34;475.78;476.59;476.33
RGBITR;2018-06-29;476.47;476.47;477.91;477.91
RGBITR;2018-07-02;478.43;478.22;478.7;478.36
RGBITR;2018-07-03;479.27;477.87;479.46;478.14
RGBITR;2018-07-04;478.23;477.82;478.28;478.18
RGBITR;2018-07-05;478.48;477.91;478.65;478.65
RGBITR;2018-07-06;478.88;478.88;479.26;478.95
RGBITR;2018-07-09;479.31;479.3;480.1;480.1
RGBITR;2018-07-10;480.14;480.14;481.15;480.79
RGBITR;2018-07-11;480.96;480.73;481.33;481.23
RGBITR;2018-07-12;481.35;481.21;482;482
RGBITR;2018-07-13;482.24;482.08;482.49;482.33
RGBITR;2018-07-16;482.69;482.21;483.02;482.51
RGBITR;2018-07-17;482.67;480.95;482.73;480.97
RGBITR;2018-07-18;481.09;479.92;481.18;479.92
RGBITR;2018-07-19;480;479.21;480;479.21
RGBITR;2018-07-20;479.42;479.24;479.76;479.49
RGBITR;2018-07-23;479.84;479.7;480.15;479.7
RGBITR;2018-07-24;479.78;479.7;480.11;479.7
RGBITR;2018-07-25;479.77;478.54;479.78;478.86
RGBITR;2018-07-26;479.57;479.24;479.82;479.24
RGBITR;2018-07-27;479.3;478.8;479.61;478.8
RGBITR;2018-07-30;479.11;479;479.67;479.45
RGBITR;2018-07-31;479.61;479.34;480.09;480.09
RGBITR;2018-08-01;480.31;479.99;480.5;480.03
RGBITR;2018-08-02;480.14;478.33;480.19;478.33
RGBITR;2018-08-03;478.29;477.25;478.29;477.36
RGBITR;2018-08-06;477.76;477.16;478.1;477.17
RGBITR;2018-08-07;477.21;476.67;477.22;476.89
RGBITR;2018-08-08;477.05;474.12;477.3;474.12
RGBITR;2018-08-09;474.01;470.39;474.01;470.74
RGBITR;2018-08-10;470.69;469.12;470.69;469.12
RGBITR;2018-08-13;469.39;467.47;469.92;467.47
RGBITR;2018-08-14;467.52;467.36;468.84;467.36
RGBITR;2018-08-15;467.46;466.06;467.71;466.06
RGBITR;2018-08-16;466.06;464.28;466.76;464.78
RGBITR;2018-08-17;464.84;462.98;465.02;462.98
RGBITR;2018-08-20;463.32;462.03;463.32;462.21
RGBITR;2018-08-21;462.09;462.09;463.32;463.32
RGBITR;2018-08-22;463.65;463.65;465.05;464.37
RGBITR;2018-08-23;464.73;462.44;464.85;462.88
RGBITR;2018-08-24;462.9;462.81;463.78;463.38
RGBITR;2018-08-27;463.94;463.56;464.54;463.64
RGBITR;2018-08-28;463.73;463.73;464.45;463.83
RGBITR;2018-08-29;463.87;463.42;464.89;463.42
RGBITR;2018-08-30;463.62;463.07;463.8;463.07
RGBITR;2018-08-31;463.55;462.93;466.15;463.92
RGBITR;2018-09-03;464.32;464.21;465.92;464.58
RGBITR;2018-09-04;464.76;462.78;465.06;462.88
RGBITR;2018-09-05;463.05;460.1;463.12;460.24
RGBITR;2018-09-06;460.33;457.39;460.41;457.39
RGBITR;2018-09-07;457.44;454.54;457.46;454.56
RGBITR;2018-09-10;454.95;452.22;455.21;452.84
RGBITR;2018-09-11;453.47;453.47;457.03;457.03
RGBITR;2018-09-12;457.36;457.36;461.23;461.22
RGBITR;2018-09-13;461.46;461.44;463.26;463.19
RGBITR;2018-09-14;463.39;461.41;463.56;462.11
RGBITR;2018-09-17;462.6;460.9;463.26;460.96
RGBITR;2018-09-18;461.28;461.28;462.7;462.65
RGBITR;2018-09-19;462.92;462.83;464.79;464.79
RGBITR;2018-09-20;464.91;464.91;466.77;465.86
RGBITR;2018-09-21;466;466;466.54;466.23
RGBITR;2018-09-24;466.57;466.57;467.93;467.66
RGBITR;2018-09-25;467.82;467.23;467.96;467.56
RGBITR;2018-09-26;467.66;467.58;468.05;467.64
RGBITR;2018-09-27;467.81;467.46;468.54;468.54
RGBITR;2018-09-28;468.6;468.6;470.43;470.13
RGBITR;2018-10-01;470.48;470.26;470.89;470.83
RGBITR;2018-10-02;470.96;470.87;471.63;471.43
RGBITR;2018-10-03;471.6;470.42;471.98;470.42
RGBITR;2018-10-04;470.53;467.81;470.93;467.81
RGBITR;2018-10-05;468.04;466.6;468.43;466.6
RGBITR;2018-10-08;466.95;464.52;467.12;464.55
RGBITR;2018-10-09;464.7;464.31;465.76;464.34
RGBITR;2018-10-10;464.61;464.47;465.36;465.26
RGBITR;2018-10-11;465.5;464.39;465.63;464.39
RGBITR;2018-10-12;464.9;464.59;465.77;465.75
RGBITR;2018-10-15;465.99;465.99;468.28;467.17
RGBITR;2018-10-16;467.28;467.28;469.74;469.69
RGBITR;2018-10-17;469.86;469.86;470.59;469.88
RGBITR;2018-10-18;470.03;469.37;470.15;469.37
RGBITR;2018-10-19;469.51;469.24;470.01;469.36
RGBITR;2018-10-22;469.62;469.62;471.41;471.4
RGBITR;2018-10-23;471.51;471.11;471.78;471.11
RGBITR;2018-10-24;471.17;470.32;471.32;470.46
RGBITR;2018-10-25;470.79;469.87;471.11;469.87
RGBITR;2018-10-26;470.01;469.76;471.3;469.76
RGBITR;2018-10-29;470.09;469.68;470.92;470.85
RGBITR;2018-10-30;471.09;470.46;471.35;470.5
RGBITR;2018-10-31;470.63;470.15;470.73;470.59
RGBITR;2018-11-01;470.73;470.53;471.02;470.53
RGBITR;2018-11-02;470.63;470.63;471.28;470.84
RGBITR;2018-11-06;471.26;470.92;471.9;470.92
RGBITR;2018-11-07;471.06;470.4;471.32;470.46
RGBITR;2018-11-08;470.65;468.48;470.69;468.53
RGBITR;2018-11-09;469.74;466.19;469.74;466.21
RGBITR;2018-11-12;466.63;464.91;466.63;464.95
RGBITR;2018-11-13;465.14;463.93;465.99;464.13
RGBITR;2018-11-14;464.33;463.91;467.39;467.39
RGBITR;2018-11-15;467.55;467.55;470.86;470.74
RGBITR;2018-11-16;470.88;470.02;471.51;471.25
RGBITR;2018-11-19;471.57;471.4;471.91;471.42
RGBITR;2018-11-20;471.73;470.67;471.73;470.67
RGBITR;2018-11-21;470.72;470.1;470.87;470.69
RGBITR;2018-11-22;470.9;470.9;471.54;471.07
RGBITR;2018-11-23;471.42;470.04;471.65;470.04
RGBITR;2018-11-26;470.39;467.71;470.39;467.73
RGBITR;2018-11-27;467.89;467.79;469.75;469.58
RGBITR;2018-11-28;469.86;469.47;470.09;469.74
RGBITR;2018-11-29;469.92;469.92;471.91;471.91
RGBITR;2018-11-30;472.15;471.91;472.47;472.3
RGBITR;2018-12-03;472.93;472.8;474.21;474.12
RGBITR;2018-12-04;474.25;473.87;474.61;473.91
RGBITR;2018-12-05;473.97;472.57;473.97;472.6
RGBITR;2018-12-06;472.7;472.15;472.77;472.19
RGBITR;2018-12-07;472.24;472.19;472.98;472.98
RGBITR;2018-12-10;473.27;473.27;474.27;473.77
RGBITR;2018-12-11;473.94;473.24;474.07;473.34
RGBITR;2018-12-12;473.56;473.31;473.82;473.49
RGBITR;2018-12-13;473.66;473.47;473.96;473.55
RGBITR;2018-12-14;473.3;473.19;473.63;473.19
RGBITR;2018-12-17;473.47;473.14;473.8;473.14
RGBITR;2018-12-18;473.2;472.48;473.26;472.51
RGBITR;2018-12-19;472.66;471.85;474.25;472.05
RGBITR;2018-12-20;472.11;472.11;473.91;473.84
RGBITR;2018-12-21;473.95;473.39;474.03;473.41
RGBITR;2018-12-24;473.72;473.54;474.39;474.37
RGBITR;2018-12-25;474.5;473.42;474.51;473.68
